,REP_DATE,CAD_date_time,X_COORDINATE,Y_COORDINATE,search_success,isMale,race_known,BLACK,HISPANIC OR LATINO,WHITE,CALL FOR SERVICE,CONSENSUAL CONTACT,MOTOR VEHICLE DRIVER,OTHER,PRE-EXISTING KNOWLEDGE,SUSPICIOUS PERSON / VEHICLE,VIOLATION OF CITY ORDIANCE,VIOLATION OF PENAL CODE,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,ADAM PD,BAKER,CHARLIE,DAVID,EDWARD,FRANK,GEORGE,HENR,IDA,OOC,TRAVIS PD
2045,-0.031236580914026126,-0.025107130009356958,-0.07011051584063159,-0.9188890657616948,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2094,-0.031236580914026126,-0.025107130009356958,2.6658592521945046,0.12136750391752245,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2137,-0.031236580914026126,-0.025107130009356958,1.0136134176790415,1.320916978086693,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2292,-0.031236580914026126,-0.025107130009356958,-0.3771065987659555,-0.4606437147513301,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2307,-0.031236580914026126,-0.025107130009356958,-1.6662604025562069,-1.5899404769906105,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2308,-0.031236580914026126,-0.025107130009356958,-1.6662604025562069,-1.5899404769906105,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2408,-0.031236580914026126,-0.025107130009356958,-0.029713775274842164,-0.5559167207905976,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2457,-0.031236580914026126,-0.025107130009356958,0.6886206825585318,0.5009903648973516,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2458,-0.031236580914026126,-0.025107130009356958,0.6886206825585318,0.5009903648973516,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2465,-0.031236580914026126,-0.025107130009356958,-1.0982171359273103,-1.7744762760713413,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2509,-0.031236580914026126,-0.025107130009356958,0.9179822711737722,-0.15568105523311393,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2536,-0.031236580914026126,-0.025107130009356958,0.15905961902785154,-0.5372628004492643,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2549,-0.031236580914026126,-0.025107130009356958,-1.501993087838447,-1.212677181113623,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2564,-0.031236580914026126,-0.025107130009356958,-0.270658315568899,1.1401208670934846,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2593,-0.031236580914026126,-0.025107130009356958,-1.0234544478185863,-0.851263039512327,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2616,-0.031236580914026126,-0.025107130009356958,0.6048596683522148,-0.27125522517607586,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2617,-0.031236580914026126,-0.025107130009356958,0.6048596683522148,-0.27125522517607586,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2626,-0.031236580914026126,-0.025107130009356958,-1.363380575186165,-1.1523079305579003,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2789,1.524345148604475,1.537811713073114,-1.0877829067290377,-1.0318365500241349,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2797,-0.031236580914026126,-0.025107130009356958,1.1517472959644304,2.0198379695869084,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2808,-0.031236580914026126,-0.025107130009356958,-0.6777847080482886,0.39436473430667596,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2861,-0.031236580914026126,-0.025107130009356958,0.6336734572391879,0.5033054099039133,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2904,1.524345148604475,1.537811713073114,0.4529411203003006,1.0259713402314838,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2917,1.524345148604475,1.537811713073114,0.9199925355147237,0.7296010592953136,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2950,-0.031236580914026126,-0.025107130009356958,-0.4966694636158867,-1.2016807173324553,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2968,1.524345148604475,1.537811713073114,0.8698316538643123,1.0310466312074074,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2979,1.524345148604475,1.537811713073114,0.67742063837323,0.5678150294136789,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2988,-0.031236580914026126,-0.025107130009356958,-1.1848499563349866,-0.7856404175955604,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3002,1.524345148604475,1.537811713073114,-0.3742347925645961,-0.49599267119767515,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3051,1.524345148604475,1.537811713073114,0.9934150473961467,1.0708475972817555,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3169,1.524345148604475,1.537811713073114,1.3966166380670118,0.2652564550945844,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3188,-0.031236580914026126,-0.025107130009356958,-2.6144350833717147,-1.3662269931834519,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3286,-0.031236580914026126,-0.025107130009356958,0.44346415983581444,0.6547627774485806,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
