PRIMARY_KEY,REP_DATE,CAD_date_time,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,CORRECTED_search_based_on,CORRECTED_search_discovered,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,CAD_sector,CouncilDistrict
20172881358,10/15/2017,10/15/2017,M,HISPANIC OR LATINO,9411 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128437,10105660,EDWARD,Council District 4
20173141882,11/11/2017,11/10/2017,F,WHITE,1700 W WILLIAM CANNON DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3095904,10046232,DAVID,Council District 5
20172631236,09/20/2017,09/20/2017,F,BLACK,WOODROW AVE / HOUSTON ST,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116450,10092018,IDA,Council District 7
20173491789,12/16/2017,12/15/2017,M,HISPANIC OR LATINO,E PARMER LN / HARRIS RIDGE BLVD,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3140100,10120201,EDWARD,Council District 7
201770150,01/07/2017,01/07/2017,M,WHITE,LINDEN ST / GOVALLE AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126487,10070549,CHARLIE,Council District 3
2017630032,03/04/2017,03/04/2017,M,WHITE,13500 N FM 620 RD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3099709,10145031,ADAM PD,Council District 6
2017620126,03/03/2017,03/03/2017,F,HISPANIC OR LATINO,300 E ANDERSON LN EB,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125963,10098178,IDA,Council District 4
20171071767,04/17/2017,04/17/2017,F,HISPANIC OR LATINO,3900 S CONGRESS AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3108121,10054692,DAVID,Council District 3
20171401388,05/20/2017,05/20/2017,M,BLACK,SPRINGDALE RD / E MARTIN LUTHER KING JR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133149,10077671,CHARLIE,Council District 1
20171581766,06/07/2017,06/07/2017,M,WHITE,7500 N IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126468,10095986,IDA,Council District 4
